instance_id	batch_id	cmap_name	INN1	concentration (M)	duration (h)	cell2	array3	perturbation_scan_id	vehicle_scan_id4	scanner	vehicle	vendor	catalog_number	catalog_name
124	5	mesalazine	INN	0.0001	6	MCF7	HG-U133A	EC2003092306AA	EC2003092302AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	A3537	5-aminosalicylic acid
141	6	chlorpropamide	INN	0.0001	6	MCF7	HG-U133A	EC2003092503AA	EC2003092502AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	C1290	chlorpropamide
142	6	tolbutamide	INN	0.0001	6	MCF7	HG-U133A	EC2003092504AA	EC2003092502AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	T0891	tolbutamide
143	6	tamoxifen	INN	0.000001	6	MCF7	HG-U133A	EC2003092505AA	EC2003092502AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	T9262	tamoxifen citrate
144	6	chlorpropamide	INN	0.0001	6	MCF7	HG-U133A	EC2003092506AA	EC2003092502AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	C1290	chlorpropamide
161	7a	verapamil	INN	0.00001	6	MCF7	HG-U133A	EC2003100103AA	EC2003100102AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	V4629	(+/-)-verapamil hydrochloride
164	7	dexverapamil	INN	0.00001	6	MCF7	HG-U133A	EC2003100104AA	EC2003100102AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	V106	R(+)-verapamil hydrochloride
165	7	exemestane	INN	0.00000001	6	MCF7	HG-U133A	EC2003100105AA	EC2003100102AA	HP GeneArray Scanner	DMSO	LKT Laboratories	E9317	exemestane
166	7	rofecoxib	INN	0.00001	6	MCF7	HG-U133A	EC2003100106AA	EC2003100102AA	HP GeneArray Scanner	DMSO	LKT Laboratories	R5722	rofecoxib
167	8	amitriptyline	INN	0.000001	6	MCF7	HG-U133A	EC2003100203AA	EC2003100202AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	A8404	amitriptyline hydrochloride
168	8	sulindac	INN	0.0001	6	MCF7	HG-U133A	EC2003100205AA	EC2003100202AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	S8139	sulindac
169	8	tacrolimus	INN	0.000001	6	MCF7	HG-U133A	EC2003100206AA	EC2003100202AA	HP GeneArray Scanner	DMSO	LC Laboratories	F-4900	FK-506
201	13	15-delta prostaglandin J2		0.00001	6	MCF7	HG-U133A	EC2003103003AA	EC2003103002AA	HP GeneArray Scanner	DMSO	Calbiochem	538927	15d-PGJ2
202	13	raloxifene	INN	0.0000001	6	MCF7	HG-U133A	EC2003103004AA	EC2003103002AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	R1402	raloxifene hydrochloride
203	13	nordihydroguaiaretic acid		0.000001	6	MCF7	HG-U133A	EC2003103005AA	EC2003103002AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	157619	nordihydroguaiaretic acid
204	13	sulfasalazine	INN	0.0001	6	MCF7	HG-U133A	EC2003103006AA	EC2003103002AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	S0883	sulfasalazine
205	16	rofecoxib	INN	0.00001	6	MCF7	HG-U133A	EC2003110403AA	EC2003110402AA	HP GeneArray Scanner	DMSO	LKT Laboratories	R5722	rofecoxib
206	16	celecoxib	INN	0.00001	6	MCF7	HG-U133A	EC2003110404AA	EC2003110402AA	HP GeneArray Scanner	DMSO	LKT Laboratories	C1644	celecoxib
207	16	LM-1685		0.00001	6	MCF7	HG-U133A	EC2003110405AA	EC2003110402AA	HP GeneArray Scanner	DMSO	Calbiochem	236011	cox-2 inhibitor I
208	16	SC-58125		0.00001	6	MCF7	HG-U133A	EC2003110406AA	EC2003110402AA	HP GeneArray Scanner	DMSO	Cayman Chemical	70655	SC-58125
221	17	tanespimycin	INN	0.0000001	6	MCF7	HG-U133A	EC2003120403AA	EC2003120402AA	HP GeneArray Scanner	DMSO	Tocris	1515	17-AAG
222	17	tomelukast	INN	0.000001	6	MCF7	HG-U133A	EC2003120404AA	EC2003120402AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	L5408	LY-171,883
223	17	TTNPB		0.0000001	6	MCF7	HG-U133A	EC2003120405AA	EC2003120402AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	T3757	TTNPB
224	17	tretinoin	INN	0.000001	6	MCF7	HG-U133A	EC2003120406AA	EC2003120402AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	R2625	retinoic acid
251	18	rofecoxib	INN	0.00001	6	MCF7	HG-U133A	EC2003121103AA	EC2003121102AA	HP GeneArray Scanner	DMSO	LKT Laboratories	R5722	rofecoxib
252	18	celecoxib	INN	0.00001	6	MCF7	HG-U133A	EC2003121104AA	EC2003121102AA	HP GeneArray Scanner	DMSO	LKT Laboratories	C1644	celecoxib
253	18	LM-1685		0.00001	6	MCF7	HG-U133A	EC2003121105AA	EC2003121102AA	HP GeneArray Scanner	DMSO	Calbiochem	236011	cox-2 inhibitor I
254	18	SC-58125		0.00001	6	MCF7	HG-U133A	EC2003121106AA	EC2003121102AA	HP GeneArray Scanner	DMSO	Cayman Chemical	70655	SC-58125
255	19	dexamethasone	INN	0.000001	6	MCF7	HG-U133A	EC2003121203AA	EC2003121202AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	D4902	dexamethasone
256	19	rofecoxib	INN	0.00001	6	MCF7	HG-U133A	EC2003121204AA	EC2003121202AA	HP GeneArray Scanner	DMSO	LKT Laboratories	R5722	rofecoxib
258	19	LY-294002		0.00001	6	MCF7	HG-U133A	EC2003121206AA	EC2003121202AA	HP GeneArray Scanner	DMSO	Calbiochem	440202	LY294002
261	20	ciclosporin	INN	0.000001	6	MCF7	HG-U133A	EC2004010803AA	EC2004010802AA	HP GeneArray Scanner	ethanol	Calbiochem	239835	cyclosporine A
262	20	indometacin	INN	0.00002	6	MCF7	HG-U133A	EC2004010804AA	EC2004010802AA	HP GeneArray Scanner	ethanol	Sigma-Aldrich	I8280	indomethacin, USP
263	20	clofibrate	INN	0.00015	6	MCF7	HG-U133A	EC2004010805AA	EC2004010802AA	HP GeneArray Scanner	ethanol	Calbiochem	231405	clofibrate
264	20	MK-886		0.000001	6	MCF7	HG-U133A	EC2004010806AA	EC2004010802AA	HP GeneArray Scanner	ethanol	Calbiochem	475889	MK-886
265	21	prednisolone	INN	0.000001	6	MCF7	HG-U133A	EC2004010809AA	EC2004010808AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	P6004	prednisolone
266	21	thalidomide	INN	0.0001	6	MCF7	HG-U133A	EC2004010810AA	EC2004010808AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	T144	(+/-)-thalidomide
267	21	genistein		0.000001	6	MCF7	HG-U133A	EC2004010811AA	EC2004010808AA	HP GeneArray Scanner	DMSO	Calbiochem	345834	genistein
268	21	genistein		0.000001	6	MCF7	HG-U133A	EC2004010812AA	EC2004010808AA	HP GeneArray Scanner	DMSO	Calbiochem	345834	genistein
281	22a	fludrocortisone	INN	0.000001	6	MCF7	HG-U133A	EC2003122303AA	EC2003122302AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	F6127	fludrocortisone acetate
282	22a	fludrocortisone	INN	0.000001	6	MCF7	HG-U133A	EC2003122304AA	EC2003122302AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	F6127	fludrocortisone acetate
283	22a	quercetin		0.000001	6	MCF7	HG-U133A	EC2003122305AA	EC2003122302AA	HP GeneArray Scanner	DMSO	Calbiochem	551600	quercetin dihydrate
284	22a	tacrolimus	INN	0.000001	6	MCF7	HG-U133A	EC2003122306AA	EC2003122302AA	HP GeneArray Scanner	DMSO	LC Laboratories	F-4900	FK-506
307	23	sulindac	INN	0.00005	6	MCF7	HG-U133A	EC2003122309AA	EC2003122308AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	S8139	sulindac
308	23	sulindac sulfide		0.00005	6	MCF7	HG-U133A	EC2003122310AA	EC2003122308AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	S3131	sulindac sulfide
309	23	exisulind	INN	0.00005	6	MCF7	HG-U133A	EC2003122311AA	EC2003122308AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	S1438	sulindac sulfone
310	23	fulvestrant	INN	0.00000001	6	MCF7	HG-U133A	EC2003122312AA	EC2003122308AA	HP GeneArray Scanner	DMSO	Tocris	1047	ICI 182,780
311	24	monastrol		0.0001	6	MCF7	HG-U133A	EC2003122315AA	EC2003122314AA	HP GeneArray Scanner	DMSO	Tocris	1305	monastrol
312	24	staurosporine		0.000001	6	MCF7	HG-U133A	EC2004010817AA	EC2003122314AA	HP GeneArray Scanner	DMSO	Calbiochem	569397	staurosporine
313	24	NU-1025		0.0001	6	MCF7	HG-U133A	EC2003122317AA	EC2003122314AA	HP GeneArray Scanner	DMSO	Calbiochem	493800	NU1025
314	24	exisulind	INN	0.00005	6	MCF7	HG-U133A	EC2003122318AA	EC2003122314AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	S1438	sulindac sulfone
315	25	acetylsalicylic acid		0.0001	6	MCF7	HG-U133A	EC2004011603AA	EC2004011602AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	A2093	aspirin, USP
316	25	flufenamic acid	INN	0.00001	6	MCF7	HG-U133A	EC2004011604AA	EC2004011602AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	F9005	flufenamic acid
317	25	N-phenylanthranilic acid		0.00001	6	MCF7	HG-U133A	EC2004011605AA	EC2004011602AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	144509	N-phenylanthranilic acid
318	25	LY-294002		0.00001	6	MCF7	HG-U133A	EC2004011606AA	EC2004011602AA	HP GeneArray Scanner	DMSO	Calbiochem	440202	LY294002
325	26b	monorden		0.0000001	6	MCF7	HG-U133A	EC2004012203AA	EC2004021313AA	HP GeneArray Scanner	DMSO	LKT Laboratories	R0212	radicicol
326	26b	sirolimus	INN	0.0000001	6	MCF7	HG-U133A	EC2004012204AA	EC2004021313AA	HP GeneArray Scanner	DMSO	Calbiochem	553210	rapamycin
327	26b	arachidonyltrifluoromethane		0.00001	6	MCF7	HG-U133A	EC2004012205AA	EC2004021313AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	A231	arachidonyl trifluoromethyl ketone
328	26b	LY-294002		0.00001	6	MCF7	HG-U133A	EC2004012206AA	EC2004021313AA	HP GeneArray Scanner	DMSO	Calbiochem	440202	LY294002
331	28	trichostatin A		0.0000001	6	MCF7	HG-U133A	EC2004012209AA	EC2004012208AA	HP GeneArray Scanner	DMSO	Calbiochem	647925	trichostatin A
332	28	trichostatin A		0.0000001	6	MCF7	HG-U133A	EC2004012210AA	EC2004012208AA	HP GeneArray Scanner	DMSO	Calbiochem	647925	trichostatin A
333	28	diclofenac	INN	0.00001	6	MCF7	HG-U133A	EC2004012211AA	EC2004012208AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	D6899	diclofenac sodium
334	28	mercaptopurine	INN	0.0001	6	MCF7	HG-U133A	EC2004012212AA	EC2004012208AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	M7000	6-mercaptopurine monohydrate
335	29	nifedipine	INN	0.00001	6	MCF7	HG-U133A	EC2004010603AA	EC2004010602AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	N7634	nifedipine
336	29	nitrendipine	INN	0.00001	6	MCF7	HG-U133A	EC2004010604AA	EC2004010602AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	N144	nitrendipine
337	29	felodipine	INN	0.00001	6	MCF7	HG-U133A	EC2004010605AA	EC2004010602AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	F9677	felodipine
338	29	azathioprine	INN	0.0001	6	MCF7	HG-U133A	EC2004010606AA	EC2004010602AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	A2593	azathioprine, USP
341	31	sodium phenylbutyrate		0.0001	6	MCF7	HG-U133A	EC2004021303AA	EC2004021302AA	HP GeneArray Scanner	medium	Calbiochem	567616	sodium 4-phenylbutyrate
342	31	novobiocin	INN	0.0001	6	MCF7	HG-U133A	EC2004021304AA	EC2004021302AA	HP GeneArray Scanner	medium	Sigma-Aldrich	N6160	novobiocin sodium, USP
343	31	fasudil	INN	0.00001	6	MCF7	HG-U133A	EC2004021305AA	EC2004021302AA	HP GeneArray Scanner	medium	Calbiochem	371970	HA-1077 dihydrochloride
344	31	2-deoxy-D-glucose		0.01	6	MCF7	HG-U133A	EC2004021306AA	EC2004021302AA	HP GeneArray Scanner	medium	Sigma-Aldrich	D3179	2-deoxy-D-glucose
345	33	valproic acid	INN	0.01	6	MCF7	HG-U133A	EC2004021309AA	EC2004021308AA	HP GeneArray Scanner	medium	Sigma-Aldrich	P4543	2-propylpentanoic acid
346	33	valproic acid	INN	0.002	6	MCF7	HG-U133A	EC2004021310AA	EC2004021308AA	HP GeneArray Scanner	medium	Sigma-Aldrich	P4543	2-propylpentanoic acid
347	33	valproic acid	INN	0.0005	6	MCF7	HG-U133A	EC2004021311AA	EC2004021308AA	HP GeneArray Scanner	medium	Sigma-Aldrich	P4543	2-propylpentanoic acid
348	33	valproic acid	INN	0.00005	6	MCF7	HG-U133A	EC2004021312AA	EC2004021308AA	HP GeneArray Scanner	medium	Sigma-Aldrich	P4543	2-propylpentanoic acid
361	35	LY-294002		0.00001	6	HL60	HG-U133A	EC2004030503AA	EC2004030502AA	HP GeneArray Scanner	DMSO	Calbiochem	440202	LY294002
362	35	sirolimus	INN	0.0000001	6	HL60	HG-U133A	EC2004030504AA	EC2004030502AA	HP GeneArray Scanner	DMSO	Calbiochem	553210	rapamycin
363	35	sodium phenylbutyrate		0.0001	6	HL60	HG-U133A	EC2004030505AA	EC2004030502AA	HP GeneArray Scanner	DMSO	Calbiochem	567616	sodium 4-phenylbutyrate
364	35	trichostatin A		0.0000001	6	HL60	HG-U133A	EC2004030506AA	EC2004030502AA	HP GeneArray Scanner	DMSO	Calbiochem	647925	trichostatin A
365	36	estradiol	INN	0.0000001	6	MCF7	HG-U133A	EC2004041403AA	EC2004041402AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	E1024	estradiol, USP
366	36	imatinib	INN	0.00001	6	MCF7	HG-U133A	EC2004041404AA	EC2004041402AA	HP GeneArray Scanner	DMSO	Novartis	Gleevec	Gleevec
367	36	fulvestrant	INN	0.000001	6	MCF7	HG-U133A	EC2004041405AA	EC2004041402AA	HP GeneArray Scanner	DMSO	Tocris	1047	ICI 182,780
368	36	pirinixic acid	INN	0.0001	6	MCF7	HG-U133A	EC2004041406AA	EC2004041402AA	HP GeneArray Scanner	DMSO	Calbiochem	681725	WY-14643
369	37	rosiglitazone	INN	0.00001	6	HL60	HG-U133A	EC2004032003AA	EC2004032002AA	HP GeneArray Scanner	DMSO	LKT Laboratories	R5772	rosiglitazone maleate
370	37	troglitazone	INN	0.00001	6	HL60	HG-U133A	EC2004032004AA	EC2004032002AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	T2573	troglitazone
371	37	rofecoxib	INN	0.00001	6	HL60	HG-U133A	EC2004032005AA	EC2004032002AA	HP GeneArray Scanner	DMSO	LKT Laboratories	R5722	rofecoxib
373	38	estradiol	INN	0.00000001	6	ssMCF7	HG-U133A	EC2004030509AA	EC2004030508AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	E1024	estradiol, USP
374	38	dexamethasone	INN	0.000001	6	ssMCF7	HG-U133A	EC2004030510AA	EC2004030508AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	D4902	dexamethasone
375	38	tamoxifen	INN	0.000001	6	ssMCF7	HG-U133A	EC2004030511AA	EC2004030508AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	T9262	tamoxifen citrate
376	38	raloxifene	INN	0.0000001	6	ssMCF7	HG-U133A	EC2004030512AA	EC2004030508AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	R1402	raloxifene hydrochloride
377	39	celecoxib	INN	0.00001	6	MCF7	HG-U133A	EC2004030515AA	EC2004030514AA	HP GeneArray Scanner	DMSO	LKT Laboratories	C1644	celecoxib
378	39	tacrolimus	INN	0.000001	6	MCF7	HG-U133A	EC2004030516AA	EC2004030514AA	HP GeneArray Scanner	DMSO	LC Laboratories	F-4900	FK-506
379	39	cobalt chloride		0.0001	6	MCF7	HG-U133A	EC2004032007AA	EC2004030514AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	C8661	cobalt(II) chloride hexahydrate
380	39	tamoxifen	INN	0.000001	6	MCF7	HG-U133A	EC2004030518AA	EC2004030514AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	T9262	tamoxifen citrate
381	40	tanespimycin	INN	0.000001	6	MCF7	HG-U133A	EC2004041409AA	EC2004041408AA	HP GeneArray Scanner	DMSO	Tocris	1515	17-AAG
382	40	genistein		0.00001	6	MCF7	HG-U133A	EC2004041410AA	EC2004041408AA	HP GeneArray Scanner	DMSO	Calbiochem	345834	genistein
383	40	cobalt chloride		0.0001	6	MCF7	HG-U133A	EC2004041411AA	EC2004041408AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	C8661	cobalt(II) chloride hexahydrate
384	40	tretinoin	INN	0.000001	6	MCF7	HG-U133A	EC2004041412AA	EC2004041408AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	R2625	retinoic acid
387	41	estradiol	INN	0.00000001	6	HL60	HG-U133A	EC2004032010AA	EC2004032009AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	E1024	estradiol, USP
388	41	raloxifene	INN	0.0000001	6	HL60	HG-U133A	EC2004032011AA	EC2004032009AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	R1402	raloxifene hydrochloride
389	41	wortmannin		0.00000001	6	HL60	HG-U133A	EC2004032012AA	EC2004032009AA	HP GeneArray Scanner	DMSO	Calbiochem	681675	wortmannin
390	41	tretinoin	INN	0.000001	6	HL60	HG-U133A	EC2004032013AA	EC2004032009AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	R2625	retinoic acid
401	42	LY-294002		0.00001	6	ssMCF7	HG-U133A	EC2004041603AA	EC2004041602AA	HP GeneArray Scanner	DMSO	Calbiochem	440202	LY294002
402	42	sirolimus	INN	0.0000001	6	ssMCF7	HG-U133A	EC2004041604AA	EC2004041602AA	HP GeneArray Scanner	DMSO	Calbiochem	553210	rapamycin
403	42	alpha-estradiol		0.00000001	6	ssMCF7	HG-U133A	EC2004041605AA	EC2004041602AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	E8750	alpha-estradiol
404	42	wortmannin		0.00000001	6	ssMCF7	HG-U133A	EC2004041606AA	EC2004041602AA	HP GeneArray Scanner	DMSO	Calbiochem	681675	wortmannin
405	43	tetraethylenepentamine		0.00001	6	MCF7	HG-U133A	EC2004041609AA	EC2004041608AA	HP GeneArray Scanner	medium	Sigma-Aldrich	375683	tetraethylenepentamine pentahydrochloride
406	43	tetraethylenepentamine		0.0001	6	MCF7	HG-U133A	EC2004041610AA	EC2004041608AA	HP GeneArray Scanner	medium	Sigma-Aldrich	375683	tetraethylenepentamine pentahydrochloride
407	43	sodium phenylbutyrate		0.001	6	MCF7	HG-U133A	EC2004041611AA	EC2004041608AA	HP GeneArray Scanner	medium	Calbiochem	567616	sodium 4-phenylbutyrate
408	43	sodium phenylbutyrate		0.001	6	MCF7	HG-U133A	EC2004041612AA	EC2004041608AA	HP GeneArray Scanner	medium	Calbiochem	567616	sodium 4-phenylbutyrate
409	44	valproic acid	INN	0.001	6	HL60	HG-U133A	EC2004042303AA	EC2004042302AA	HP GeneArray Scanner	medium	Sigma-Aldrich	P4543	2-propylpentanoic acid
410	44	valproic acid	INN	0.01	6	HL60	HG-U133A	EC2004042304AA	EC2004042302AA	HP GeneArray Scanner	medium	Sigma-Aldrich	P4543	2-propylpentanoic acid
411	44	sodium phenylbutyrate		0.001	6	HL60	HG-U133A	EC2004042305AA	EC2004042302AA	HP GeneArray Scanner	medium	Calbiochem	567616	sodium 4-phenylbutyrate
412	44	tetraethylenepentamine		0.0001	6	HL60	HG-U133A	EC2004042306AA	EC2004042302AA	HP GeneArray Scanner	medium	Sigma-Aldrich	375683	tetraethylenepentamine pentahydrochloride
413	45	trichostatin A		0.0000001	6	ssMCF7	HG-U133A	EC2004050703AA	EC2004050702AA	HP GeneArray Scanner	DMSO	Calbiochem	647925	trichostatin A
414	45	estradiol	INN	0.00000001	6	ssMCF7	HG-U133A	EC2004050704AA	EC2004050702AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	E1024	estradiol, USP
415	45	nordihydroguaiaretic acid		0.000001	6	ssMCF7	HG-U133A	EC2004050706AA	EC2004050702AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	157619	nordihydroguaiaretic acid
416	46	clozapine	INN	0.00001	6	MCF7	HG-U133A	EC2004042309AA	EC2004042308AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	C6305	clozapine
417	46	thioridazine	INN	0.00001	6	MCF7	HG-U133A	EC2004042310AA	EC2004042308AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	T9025	thioridazine hydrochloride
418	46	haloperidol	INN	0.00001	6	MCF7	HG-U133A	EC2004042311AA	EC2004042308AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	H1512	haloperidol
419	46	chlorpromazine	INN	0.00001	6	MCF7	HG-U133A	EC2004042312AA	EC2004042308AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	C0982	chlorpromazine hydrochloride
421	53	trifluoperazine	INN	0.00001	6	MCF7	HG-U133A	EC2004042315AA	EC2004042314AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	T6062	trifluoperazine dihydrochloride
422	53	thioridazine	INN	0.000001	6	MCF7	HG-U133A	EC2004042316AA	EC2004042314AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	T9025	thioridazine hydrochloride
423	53	staurosporine		0.0000001	6	MCF7	HG-U133A	EC2004042317AA	EC2004042314AA	HP GeneArray Scanner	DMSO	Calbiochem	569397	staurosporine
424	53	LY-294002		0.0000001	6	MCF7	HG-U133A	EC2004042318AA	EC2004042314AA	HP GeneArray Scanner	DMSO	Calbiochem	440202	LY294002
425	54	staurosporine		0.00000001	6	MCF7	HG-U133A	EC2004050709AA	EC2004050708AA	HP GeneArray Scanner	DMSO	Calbiochem	569397	staurosporine
426	54	chlorpromazine	INN	0.000001	6	MCF7	HG-U133A	EC2004050710AA	EC2004050708AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	C0982	chlorpromazine hydrochloride
427	54	iloprost	INN	0.000001	6	MCF7	HG-U133A	EC2004050711AA	EC2004050708AA	HP GeneArray Scanner	DMSO	Cayman Chemical	18215	iloprost
428	54	tanespimycin	INN	0.000001	6	MCF7	HG-U133A	EC2004050712AA	EC2004050708AA	HP GeneArray Scanner	DMSO	Tocris	1515	17-AAG
429	55	LY-294002		0.00001	6	PC3	HG-U133A	EC2004052403AA	EC2004052402AA	HP GeneArray Scanner	DMSO	Calbiochem	440202	LY294002
430	55	rosiglitazone	INN	0.00001	6	PC3	HG-U133A	EC2004052404AA	EC2004052402AA	HP GeneArray Scanner	DMSO	LKT Laboratories	R5772	rosiglitazone maleate
431	55	troglitazone	INN	0.00001	6	PC3	HG-U133A	EC2004052405AA	EC2004052402AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	T2573	troglitazone
432	55	tanespimycin	INN	0.000001	6	PC3	HG-U133A	EC2004052406AA	EC2004052402AA	HP GeneArray Scanner	DMSO	Tocris	1515	17-AAG
433	56	valproic acid	INN	0.001	6	PC3	HG-U133A	EC2004052409AA	EC2004052408AA	HP GeneArray Scanner	medium	Sigma-Aldrich	P4543	2-propylpentanoic acid
434	56	sodium phenylbutyrate		0.001	6	PC3	HG-U133A	EC2004052410AA	EC2004052408AA	HP GeneArray Scanner	medium	Calbiochem	567616	sodium 4-phenylbutyrate
435	56	novobiocin	INN	0.0001	6	PC3	HG-U133A	EC2004052411AA	EC2004052408AA	HP GeneArray Scanner	medium	Sigma-Aldrich	N6160	novobiocin sodium, USP
436	56	fasudil	INN	0.00001	6	PC3	HG-U133A	EC2004052412AA	EC2004052408AA	HP GeneArray Scanner	medium	Calbiochem	371970	HA-1077 dihydrochloride
437	58	novobiocin	INN	0.0001	6	MCF7	HG-U133A	EC2004052415AA	EC2004052414AA	HP GeneArray Scanner	medium	Sigma-Aldrich	N6160	novobiocin sodium, USP
438	58	copper sulfate		0.0001	6	MCF7	HG-U133A	EC2004052416AA	EC2004052414AA	HP GeneArray Scanner	medium	Sigma-Aldrich	203165	copper(II) sulfate pentahydrate
439	58	oxamic acid		0.01	6	MCF7	HG-U133A	EC2004052417AA	EC2004052414AA	HP GeneArray Scanner	medium	Pfaltz and Bauer	3850	oxamic acid sodium salt
440	58	W-13		0.00001	6	MCF7	HG-U133A	EC2004052418AA	EC2004052414AA	HP GeneArray Scanner	medium	Calbiochem	681636	W-13, hydrochloride
441	59	arachidonic acid		0.00001	6	MCF7	HG-U133A	EC2004060203AA	CL2004060801AA	HP GeneArray Scanner	ethanol	Sigma-Aldrich	A8798	arachidonic acid sodium salt
442	59	oligomycin		0.000001	6	MCF7	HG-U133A	EC2004060204AA	CL2004060801AA	HP GeneArray Scanner	ethanol	Sigma-Aldrich	861944	oligomycin
443	59	arachidonic acid		0.00001	6	MCF7	HG-U133A	EC2004060205AA	CL2004060801AA	HP GeneArray Scanner	ethanol	Sigma-Aldrich	A8798	arachidonic acid sodium salt
